rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.20517/ir.2026.06,Model predictive tracking control based on adaptive sliding mode constraints for unmanned underwater vehicles,2026,Intelligence & Robotics,https://doi.org/10.20517/ir.2026.06,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1109/lra.2021.3067847,"MPC-MPNet: Model-Predictive Motion Planning Networks for Fast, Near-Optimal Planning Under Kinodynamic Constraints",2021,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2021.3067847,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1115/1.4028084,Stochastic Model Predictive Control for Guided Projectiles Under Impact Area Constraints,2015,"Journal of Dynamic Systems, Measurement, and Control",https://doi.org/10.1115/1.4028084,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.3390/s22249861,Multi-Parameter Predictive Model of Mobile Robot’s Battery Discharge for Intelligent Mission Planning in Multi-Robot Systems,2022,Sensors,https://doi.org/10.3390/s22249861,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1002/oca.3126,Application of a stabilizing model predictive controller to path following for a car‐like agricultural robot,2024,Optimal Control Applications and Methods,https://doi.org/10.1002/oca.3126,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
6,arxiv:2603.12510v3,Red-Teaming Vision-Language-Action Models via Quality Diversity Prompt Generation for Robust Robot Policies,2026,arXiv,http://arxiv.org/abs/2603.12510v3,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.31763/ijrcs.v5i6.2113,Motorcycle Adaptive Cruise Control Using Model Predictive Control with Integrated Sensor Fusion,2026,International Journal of Robotics and Control Systems,https://doi.org/10.31763/ijrcs.v5i6.2113,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.2514/1.g009534,Reinforcement-Learning-Enhanced Model Predictive Control with Application to Autonomous Planetary Landing,2026,"Journal of Guidance, Control, and Dynamics",https://doi.org/10.2514/1.g009534,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
9,arxiv:1705.02152v1,Shrinking Horizon Model Predictive Control with Signal Temporal Logic Constraints under Stochastic Disturbances,2017,arXiv,http://arxiv.org/abs/1705.02152v1,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1007/s10846-024-02060-z,Optimal Transport and Model Predictive Control-based Simultaneous Task Assignment and Trajectory Planning for Unmanned System Swarm,2024,Journal of Intelligent & Robotic Systems,https://doi.org/10.1007/s10846-024-02060-z,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
